name,address,city,state,county,phone,website,service_type,hours,notes,active
Franciscan Servants of Divine Mercy,352 13th Ave.,Newark,NJ,Newark - Central Ward,(908) 403-6252,,Food Pantry,"Tues, Wed, Thurs & Sat 12 p.m.–1:30 p.m.",Central Ward,true
Revival Temple Holiness Church,81–85 16th Ave.,Newark,NJ,Newark - Central Ward,(973) 642-8588,,Food Pantry,Every Friday at 10 a.m.,Central Ward,true
New Community Corp Senior,220 Bruce St.,Newark,NJ,Newark - Central Ward,(973) 623-6114,,Food Pantry,Every 1st Day of the Month,Central Ward,true
Celestial Church of Christ,187–189 Camden St.,Newark,NJ,Newark - Central Ward,(973) 565-1201,,Food Pantry,n/a,Central Ward,true
UCC's Champion House Food Pantry,409 S. 18th St.,Newark,NJ,Newark - Central Ward,,,Food Pantry,Every 3rd Wednesday 10 a.m.–2 p.m.,Central Ward,true
Allen AME Church,56 19th Ave.,Newark,NJ,Newark - Central Ward,,,Food Pantry,"Every 1st, 3rd, and 4th Saturday, 9 a.m.–1 p.m.",Central Ward,true
Better Life,101 14th Ave.,Newark,NJ,Newark - Central Ward,(862) 229-1400,,Food Pantry,"Monday, Friday 10 a.m.–3 p.m.",Central Ward,true
Église De Dieu De L'Unité Chrétienne Inc.,31 Blum St.,Newark,NJ,Newark - Central Ward,,,Food Pantry,Pantry time varies,Central Ward,true
Sardis Temple Baptist Church,506–508 18th Ave.,Newark,NJ,Newark - Central Ward,(973) 642-3565,,Food Pantry,Pantry time varies,Central Ward,true
Seventh-day Adventists,828 Sanford Avenue,Newark,NJ,Newark - West Ward,(973) 375-9206,,Food Pantry,Sundays,West Ward,true
Family Manor,795 Sanford Avenue,Newark,NJ,Newark - West Ward,(973) 388-0650,,Food Pantry,"Every other Tuesday, 7:30 p.m.–8 p.m.",West Ward,true
Vailsburg Assembly of God / Bishop McBean,962 South Orange Avenue,Newark,NJ,Newark - West Ward,,,Food Pantry,"Wednesdays, 10 a.m.",West Ward,true
Ambassador Church,998 South Orange Avenue,Newark,NJ,Newark - West Ward,,,Food Pantry,"Fridays, 12 p.m.–2 p.m.",West Ward,true
Apostle's House,24 Grant Street,Newark,NJ,Newark - North Ward,(973) 482-0625,,Food Pantry,10 a.m. Wednesdays (call for closing times),North Ward,true
NJCRI,323 Central Avenue,Newark,NJ,Newark - North Ward,(973) 483-3444,,Food Pantry,By appointment,North Ward,true
Willing Heart,555 Dr. Martin Luther King Jr. Blvd.,Newark,NJ,Newark - North Ward,(973) 622-2100,,Food Pantry,,North Ward,true
New Direction Behavioral Health,9 Lincoln Park,Newark,NJ,Newark - Arts & Education District,(973) 885-0153,,Food Pantry,Nov. 12th & 26th at 1 p.m. (call for closing times),Arts & Education,true
St. James Social Service Corp.,604 Dr. Martin Luther King Jr. Blvd.,Newark,NJ,Newark - Arts & Education District,(973) 624-4007,,Food Pantry,"Mon–Fri, 1 p.m.–3 p.m. (Each family served once per month)",Arts & Education,true
Newark Emergency Services for Families,982 Mayor Kenneth A. Gibson Blvd.,Newark,NJ,Newark - Arts & Education District,(973) 639-2100,,Food Pantry,"Nov. 20th, 9 a.m.–11 a.m.",Arts & Education,true
Pierre Toussaint,520 Dr. Martin Luther King Jr. Blvd.,Newark,NJ,Newark - Arts & Education District,(973) 792-5790,,Food Pantry,Please call for the weekly schedule,Arts & Education,true
Ironbound Community Center,432 Lafayette Street,Newark,NJ,Newark - East Ward,,,Food Pantry,"Tuesday and Friday, 11 a.m. to 1 p.m.",East Ward,true
Ironbound Community Center,29 Cortland Street,Newark,NJ,Newark - East Ward,,,Food Pantry,"Thursday, 9:30 a.m.",East Ward,true
Ironbound Community Center,371 St. Charles Street,Newark,NJ,Newark - East Ward,,,Food Pantry,"Nov. 7th and 23rd, Turkey Giveaway, 3:30 p.m.",East Ward,true
Mantena,294 Ferry Street,Newark,NJ,Newark - East Ward,(973) 344-1644,,Food Pantry,Call for service hours,East Ward,true
East Ward Community Center,104 Oliver Street,Newark,NJ,Newark - East Ward,973-522-4036,,Food Pantry,Call for service hours,East Ward,true
Grace Kingdom Church Food Pantry,375–377 Chestnut St.,Newark,NJ,Essex,201-449-5070,,Food Pantry,Saturday 10am–12pm,Essex County,true
Grace Pointe Seventh Day Adventist Church,15 Elmwood Avenue,Montclair,NJ,Essex,973-746-1911,,Food Pantry,Sunday 10am–2pm,Essex County,true
Greater Life Community Center – Lifeline Food Pantry,272 Chancellor Ave,Newark,NJ,Essex,973-907-6111,,Food Pantry,Call for hours,Essex County,true
Holy Trinity Episcopal Church Food Pantry,315 Main Street,West Orange,NJ,Essex,973-325-0369,,Food Pantry,Tuesday 8:30am–11:30am,Essex County,true
Holy Trinity Lutheran Church Food Pantry,153 Glenwood Avenue,East Orange,NJ,Essex,973-676-5437,,Food Pantry,Last Tuesday of the Month 10am–12pm,Essex County,true
Mercy House – Newark Food Pantry,620 Clinton Avenue,Newark,NJ,Essex,973-497-4000,,Food Pantry,Tuesday & Friday 11am–4pm,Essex County,true
New Hope Baptist Church Food Pantry,144 Norman Street,East Orange,NJ,Essex,862-452-6887,,Food Pantry,Every 3rd Friday of the Month 10am–2pm,Essex County,true
Our Lady of Sorrows Food Pantry,217 Prospect Street,South Orange,NJ,Essex,973-370-0458,,Food Pantry,Every 2nd & 4th Saturday of the Month 8am–11am,Essex County,true
Roseville Church Food Pantry,36 Roseville Avenue,Newark,NJ,Essex,973-483-3361,,Food Pantry,Every 2nd & 4th Monday of the Month 10am–12pm,Essex County,true
St. James R.C. Church Food Pantry,142 Jefferson Street,Newark,NJ,Essex,973-344-8322,,Food Pantry,Monday 9am–3pm; Thursday 9am–2pm,Essex County,true
